001  00312 |Loss: 2.194 | Acc: 23.525% 
001  00313 |Loss: 2.192 | Acc: 23.555% 
001  00314 |Loss: 2.191 | Acc: 23.599% 
001  00315 |Loss: 2.189 | Acc: 23.626% 
001  00316 |Loss: 2.188 | Acc: 23.635% 
001  00317 |Loss: 2.187 | Acc: 23.652% 
001  00318 |Loss: 2.186 | Acc: 23.676% 
001  00319 |Loss: 2.185 | Acc: 23.724% 
001  00320 |Loss: 2.183 | Acc: 23.757% 
001  00321 |Loss: 2.182 | Acc: 23.783% 
001  00322 |Loss: 2.181 | Acc: 23.801% 
001  00323 |Loss: 2.180 | Acc: 23.832% 
001  00324 |Loss: 2.178 | Acc: 23.859% 
001  00325 |Loss: 2.177 | Acc: 23.889% 
001  00326 |Loss: 2.176 | Acc: 23.926% 
001  00327 |Loss: 2.174 | Acc: 23.970% 
001  00328 |Loss: 2.173 | Acc: 24.021% 
001  00329 |Loss: 2.172 | Acc: 24.060% 
001  00330 |Loss: 2.170 | Acc: 24.098% 
001  00331 |Loss: 2.170 | Acc: 24.129% 
001  00332 |Loss: 2.168 | Acc: 24.176% 
001  00333 |Loss: 2.167 | Acc: 24.209% 
001  00334 |Loss: 2.166 | Acc: 24.223% 
001  00335 |Loss: 2.165 | Acc: 24.249% 
001  00336 |Loss: 2.163 | Acc: 24.302% 
001  00337 |Loss: 2.162 | Acc: 24.321% 
001  00338 |Loss: 2.161 | Acc: 24.346% 
001  00339 |Loss: 2.160 | Acc: 24.369% 
001  00340 |Loss: 2.159 | Acc: 24.391% 
001  00341 |Loss: 2.158 | Acc: 24.432% 
001  00342 |Loss: 2.156 | Acc: 24.465% 
001  00343 |Loss: 2.155 | Acc: 24.490% 
001  00344 |Loss: 2.154 | Acc: 24.519% 
001  00345 |Loss: 2.153 | Acc: 24.545% 
001  00346 |Loss: 2.152 | Acc: 24.560% 
001  00347 |Loss: 2.151 | Acc: 24.583% 
001  00348 |Loss: 2.149 | Acc: 24.612% 
001  00349 |Loss: 2.148 | Acc: 24.651% 
001  00350 |Loss: 2.147 | Acc: 24.674% 
001  00351 |Loss: 2.146 | Acc: 24.704% 
001  00352 |Loss: 2.145 | Acc: 24.745% 
001  00353 |Loss: 2.144 | Acc: 24.772% 
001  00354 |Loss: 2.143 | Acc: 24.804% 
001  00355 |Loss: 2.142 | Acc: 24.835% 
001  00356 |Loss: 2.141 | Acc: 24.851% 
001  00357 |Loss: 2.140 | Acc: 24.882% 
001  00358 |Loss: 2.139 | Acc: 24.906% 
001  00359 |Loss: 2.139 | Acc: 24.924% 
001  00360 |Loss: 2.138 | Acc: 24.933% 
001  00361 |Loss: 2.137 | Acc: 24.959% 
001  00362 |Loss: 2.135 | Acc: 25.000% 
001  00363 |Loss: 2.134 | Acc: 25.017% 
001  00364 |Loss: 2.133 | Acc: 25.054% 
001  00365 |Loss: 2.132 | Acc: 25.088% 
001  00366 |Loss: 2.131 | Acc: 25.100% 
001  00367 |Loss: 2.130 | Acc: 25.128% 
001  00368 |Loss: 2.129 | Acc: 25.140% 
001  00369 |Loss: 2.128 | Acc: 25.176% 
001  00370 |Loss: 2.127 | Acc: 25.211% 
001  00371 |Loss: 2.126 | Acc: 25.236% 
001  00372 |Loss: 2.125 | Acc: 25.258% 
001  00373 |Loss: 2.124 | Acc: 25.276% 
001  00374 |Loss: 2.123 | Acc: 25.297% 
001  00375 |Loss: 2.121 | Acc: 25.323% 
